,0165_10,0165_11,0165_12,0165_13,0165_14,0165_15,0165_16,0165_17,0165_18,0165_19,0165_20,0165_21,0165_22,0165_23,0165_24,0165_25,0165_26,0165_27,0165_28,0165_29,0165_30,internetP,label
pr_0000070,49450,20696,3502,4191,1086,3105,2426,719,1707,76,0,76,335,0,335,7491,436,7055,2675,795,27959,0.418523761375,train
ia_0000045,52251,36786,748,8591,2409,6182,17863,5104,12759,1601,448,1153,1321,195,1126,3300,1266,2034,3362,1567,13898,0.704024803353,train
ca_0000480,47413,38914,226,6024,2308,3716,11843,5690,6153,13071,4714,8357,722,451,271,5119,2613,2506,1909,1362,7137,0.820745365195,train
ca_0000328,41535,32902,293,5979,2768,3211,18892,7331,11561,1012,416,596,326,209,117,4946,2936,2010,1454,2530,6103,0.792151197785,train
or_0000064,63551,51742,895,11626,3011,8615,20730,7072,13658,4587,1593,2994,4455,1176,3279,5664,2110,3554,3785,1414,10395,0.814180736731,train
tx_0000378,45630,35464,273,6960,2505,4455,16309,6833,9476,1807,549,1258,2072,432,1640,4998,2132,2866,3045,2270,7896,0.777207977208,train
al_0000057,49437,39219,565,6582,2496,4086,25485,13601,11884,513,252,261,643,468,175,3565,1204,2361,1866,1092,9126,0.793312701013,train
mn_0000068,60940,43374,1607,18411,5732,12679,9439,3840,5599,757,287,470,4254,1252,3002,3400,1390,2010,5506,3332,14234,0.711749261569,train
nc_0000094,62732,36154,616,12974,2843,10131,13375,3183,10192,2404,769,1635,623,117,506,4618,1602,3016,1544,3201,23377,0.576324682778,train
wi_0000079,45756,33841,1011,10302,3366,6936,12383,3954,8429,1584,355,1229,2027,728,1299,3549,1436,2113,2985,1695,10220,0.739596992744,train
mn_0000090,48095,43355,660,7896,3965,3931,26835,15260,11575,836,713,123,1204,550,654,4657,3095,1562,1267,1614,3126,0.901445056659,train
va_0000116,56712,42672,369,2826,848,1978,20143,7402,12741,9430,3146,6284,889,400,489,5073,2744,2329,3942,2563,11477,0.75243334744,train
ut_0000052,29388,25317,63,8288,4243,4045,7881,5150,2731,1541,862,679,3053,1937,1116,2036,1396,640,2455,810,3261,0.861474071049,train
md_0000051,38185,24993,461,6147,2852,3295,12310,6178,6132,298,119,179,1441,650,791,1985,943,1042,2351,1979,11213,0.65452402776,train
hi_0000020,64929,48726,1123,11177,3051,8126,28857,7280,21577,469,336,133,926,118,808,3400,1610,1790,2774,2237,13966,0.750450492076,train
tx_0000354,38578,35328,75,6427,3060,3367,16510,8536,7974,2407,1500,907,2035,1576,459,4647,3705,942,3227,736,2514,0.915755093577,train
nc_0000131,61385,43691,458,19854,8834,11020,13110,6157,6953,1182,782,400,1553,271,1282,4043,1776,2267,3491,2667,15027,0.711753685754,train
tx_0000318,33312,16242,150,4383,1405,2978,5757,3030,2727,1370,141,1229,666,218,448,1744,640,1104,2172,1797,15273,0.48757204611,train
wi_0000108,50053,42324,330,6490,2867,3623,26310,12401,13909,3411,1681,1730,672,490,182,2877,1004,1873,2234,965,6764,0.845583681298,train
wy_0000017,51280,41499,684,10453,4115,6338,17501,6539,10962,1789,1102,687,2183,1017,1166,2935,1766,1169,5954,2225,7556,0.809262870515,train
al_0000062,41254,23909,1060,8583,1636,6947,5865,1696,4169,442,95,347,1772,627,1145,3092,714,2378,3095,1365,15980,0.57955592185,train
tx_0000346,33857,26411,36,6465,3441,3024,10989,5961,5028,1405,1090,315,891,494,397,5474,4378,1096,1151,366,7080,0.780075021414,train
or_0000072,66448,54142,668,8796,4163,4633,31639,14116,17523,2021,1219,802,812,185,627,6086,3654,2432,4120,2771,9535,0.814802552372,train
tx_0000347,38319,35339,0,8090,4061,4029,16824,6711,10113,1279,703,576,1432,1128,304,5354,3589,1765,2360,631,2349,0.922231791018,train
ca_0000500,68719,60273,441,6472,2640,3832,40213,16625,23588,1582,856,726,926,664,262,8302,5645,2657,2337,2073,6373,0.877093671328,train
ky_0000064,49966,32729,550,10911,4998,5913,9077,3704,5373,567,146,421,2706,1133,1573,4586,2781,1805,4332,2614,14623,0.655025417284,train
ga_0000091,45513,28468,603,9382,2581,6801,9731,2023,7708,1107,89,1018,2397,408,1989,3180,1477,1703,2068,1619,15426,0.62549161778,train
tx_0000384,33283,28039,248,5807,2751,3056,13545,5225,8320,2675,1437,1238,341,181,160,3420,1651,1769,2003,834,4410,0.842442087552,train
az_0000085,56659,41381,513,8004,2190,5814,21824,6637,15187,475,262,213,1729,268,1461,5942,2552,3390,2894,2418,12860,0.730351753473,train
pr_0000064,60492,23628,584,4000,918,3082,13382,3054,10328,172,0,172,962,225,737,855,348,507,3673,5225,31639,0.390597103749,train
va_0000099,82407,44697,1187,13572,4085,9487,19049,5966,13083,827,382,445,2362,181,2181,3654,1209,2445,4046,5939,31771,0.542393243292,train
pr_0000067,40874,19363,181,5219,2198,3021,7326,2437,4889,271,111,160,1981,1001,980,1939,1621,318,2446,1019,20492,0.473724127807,train
tx_0000213,44359,23963,363,9113,2712,6401,4433,1773,2660,97,39,58,2694,566,2128,5332,2707,2625,1931,3636,16760,0.540206046124,train
nj_0000096,51190,41103,130,2358,726,1632,23621,8561,15060,10909,4787,6122,181,23,158,2742,1273,1469,1162,963,9124,0.802949794882,train
wa_0000108,57282,53449,343,5382,2489,2893,31712,19642,12070,8448,5108,3340,753,371,382,4870,3168,1702,1941,1449,2384,0.933085436961,train
ny_0000212,33988,28186,182,373,83,290,18156,4478,13678,6000,1838,4162,14,14,0,3141,1556,1585,320,1289,4513,0.829292691538,train
in_0000119,56336,41465,373,10890,2175,8715,21189,5971,15218,3426,1225,2201,1080,116,964,2727,1318,1409,1780,1933,12938,0.736030247089,train
